"Course Name","Course ID",L,T,P
"Machine Learning For Electronics Engineers","EEE G513",1,0,0
"Rf And Microwave Engg","EEE G581",1,0,0
"Telecom Network Management","EEE G582",1,0,1
"Optical Communication","EEE G591",1,0,0
"Mobile And Personal Communication","EEE G592",1,0,0
"Coding Theory And Practice","EEE G612",1,0,0
"Advanced Digital Signal Processing","EEE G613",1,0,0
"Advanced Wireless Communications","EEE G614",1,0,1
"Advanced Digital Communication","EEE G622",1,0,0
"Hardware Software Codesign","EEE G626",1,0,1
"Networked Embedded Applications","EEE G627",1,0,0
"Financial Risk Analytics And Management","FIN F414",1,0,0
"Modern Political Concepts","GS F211",1,0,0
"Environ Dev & Climate Ch","GS F212",1,0,0
"Development Theories","GS F213",1,0,0
"Business Communication","GS F221",1,0,0
"Dynamics Of Social Change","GS F231",1,0,0
"Introductory Psychology","GS F232",1,0,0
"Public Policy","GS F233",1,0,0
"Development Economics","GS F234",1,0,0
"Creative Writing","GS F241",1,0,0
"Cultural Studies","GS F242",1,0,0
"Effective Public Speaking","GS F245",1,0,0
"Introduction To Conflict Management","GS F311",1,0,0
"Critical Analysis Of Literature And Cinema","GS F322",1,0,0
"Tech In Social Research","GS F331",1,0,0
"Introductory Philosophy","HSS F235",1,0,0
"Contemporary Indian English Fiction","HSS F237",1,0,0
"Introduction To Contemporary Arts","HSS F313",1,0,0
"Maritime Studies And Blue Economy","HSS F314",1,0,0
"Introduction To Globalization","HSS F317",1,0,0
"Introduction To Anthropology","HSS F318",1,0,0
"Appreciation Of Art","HSS F330",1,0,0
"Cinematic Art","HSS F332",1,0,0
"Srimad Bhagavad Gita","HSS F334",1,0,0
"English Literary Forms And Movements","HSS F337",1,0,0
"Comparative Indian Literature","HSS F338",1,0,0
"Theatre Art Acting And Production","HSS F339",1,0,0
"Professional Ethics","HSS F343",1,0,0
"International Relations","HSS F346",1,0,0
"Introduction To Carnatic Music","HSS F347",1,0,0
"Ecocriticism","HSS F349",1,0,0
"Local Governance And Participation","HSS F362",1,0,0
"Disaster And Development","HSS F363",1,0,0
"Science Of Sustainable Happiness","HSS F365",1,0,0
"Caste And Gender In India","HSS F369",1,0,0
"Cities-Life, Issues And Conflicts","HSS F371",1,0,0
"Introduction To Social Psychology","HSS F372",1,0,0
"Shakespeare And Popular Culture","HSS F373",1,0,0
"Introduction To Philosophy Of Science","HSS F379",1,0,0
"Environmental Sustainability Ventures","HSS F381",1,0,0
"Introduction To Museum Studies","HSS F383",1,0,0
"Electro Inst &Inst Tech","INSTR F311",1,0,2
"Transd & Measurement Sys","INSTR F312",1,1,0
"Indus Instrument & Cont","INSTR F343",1,1,0
"Data Mining","ISZ C415",1,0,0
"Machine Learning","ISZ C464",1,0,0
"Environmental Development And Climate Change","GS F212",1,0,0
"Microproc & Interfacing","INSTR F241",1,1,1
"Computer Graphics","IS F311",1,0,0
"Software Engineering","IS F341",1,0,0
"Network Programming","IS F462",1,0,0
"Computer Organization And Architecture","ISZ C353",1,0,0
"Mathematics I","MATH F111",1,0,0
"Mathematics II","MATH F112",1,0,0
"Probability And Statistics","MATH F113",1,0,0
"Mathematics III","MATH F211",2,0,0
"Discreet Mathematics","MATH F213",1,1,0
"Elementary Real Analysis","MATH F214",1,1,0
"Algebra I","MATH F215",1,1,0
"Mathematical Methods","MATH F241",1,1,0
"Operations Research","MATH F242",1,1,0
"Graphs And Networks","MATH F243",1,1,0
"Measure & Integration","MATH F244",1,1,0
"Introduction To Topology","MATH F311",1,1,0
"Ordinary Differential Equations","MATH F312",1,1,0
"Numerical Analysis","MATH F313",1,0,0
"Introduction To Statistical Inference","MATH F315",1,0,0
"Intro To Functional Anal","MATH F341",1,1,0
"Differential Geometry","MATH F342",1,1,0
"Partial Diff Equations","MATH F343",1,1,0
"Mathematical Modeling","MATH F420",1,0,0
"Time Series Analysis And Forecasting","MATH F428",1,0,1
"Numerical Solutions Of Ordinary Differential Equations","MATH F444",1,0,0
"Topics In Algebra","MATH G513",1,0,0
"Topics In Analysis","MATH G514",1,0,0
"Topics In Differential Equations","MATH G515",1,0,0
"Topics In Topology","MATH G516",1,0,0
"Discrete Str For Comp Science","MATH ZC222",1,0,0
"Calculus","MATH ZC233/PE ZC233/POWAB ZC235",1,0,0
"Linear Algebra & Optimization","MATH ZC234/PE ZC235",1,0,0
"Optimization/ Engineering Optimization","MATH F212/ME F320",3,0,0
"Number Theory","MATH F231",1,0,0
"Statistical Inference And Applications","MATH F353",3,0,0
"Combinatorial Mathematics","MATH F421",1,0,0
"Applied Stochastic Processes","MATH F424",3,0,1
"Applied Statistical Methods","MATH F432",1,0,0
"Discrete Mathematical Structures","MATH F441",1,0,0
"Nonlinear Optimization","MATH F471",3,0,0
"Biostatistics And Computers In Public Health","MPH G510",1,0,0
"Workshop Practice","ME F112",2,0,0
"Mechanics Of Solids","ME F211",1,1,0
"Fluid Mechanics","ME F212",1,1,0
"Materials Science & Engineering","ME F216",1,1,2
"Applied Thermodynamics","ME F217",1,1,2
"Advanced Mechanics Of Solids","ME F218",1,1,0
"Manufacturing Processes/Production Techniques I","ME F219/ME F243",1,0,2
"Heat Transfer","ME F220",1,1,2
"Mechanisms And Machines","ME F221",1,1,0
"Design Of Machine Elements/Machine Design And Drawing","ME F314/ME F241",1,1,0
"Advanced Manufacturing Processes","ME F315",1,1,2
"Manufacturing Management","ME F316",1,1,0
"Engines, Motors, And Mobility/I C Engines","ME F317/ME F242",1,1,0
"Computer-Aided Design","ME F318/ME F342",1,1,2
"Vibrations & Control/Mechanical Vibrations","ME F319/ME F343",1,1,0
"Engineering Optimization","ME F320/ME F344",1,1,0
"Primemovers & Fluid Mach","ME F341",1,0,2
"Gas Dynamics","ME F415",1,0,0
"Power Plant Engineering","ME F420",1,0,0
"Micro-Fluidics & Its App","ME F423",1,0,0
"Smart Materials","ME F428",1,0,0
"Quality Control, Assurance And Reliability","ME F443",1,0,0
"Mechanical Equipment Design","ME F451",1,0,0
"Composite Materials & Design","ME F452",1,0,0
"Refrigeration And Air Conditioning","ME F461",1,0,0
"Wind Electrical System","ME F483",1,0,0
"Numerical Techniques For Fluid Flow And Heat Transfer","ME F485",1,0,0
"Mechanisms & Robotics","ME G511",1,0,0
"Finite Element Methods","ME G512",1,0,0
"Comput Fluid Dynamics","ME G515",1,0,0
"Machine Tool Engineering","ME G532",1,0,0
"Advanced Engineering Mathematics","ME G535",1,0,0
"Comp Aided Analysis And Design","ME G611",1,0,0
"Theory Of Elasticity And Plasticity","ME G641",1,0,0
"I C Fabrication Tech","MEL G611",1,0,0
"Vlsi Design","MEL G621",1,0,0
"Intro To Artif Neural Net","MEL G622",1,0,0
"Advanced Vlsi Design","MEL G623",1,0,0
"Advanced Vlsi Architectures","MEL G624",1,0,0
"Advanced Analog And Mixed Signal Design","MEL G625",1,0,0
"Vlsi Test And Testability","MEL G626",1,0,0
"Phy & Mo Of Microel Dev","MEL G631",1,0,0
"Analog Ic Design","MEL G632",1,0,0
"Cad For Ic Design","MEL G641",1,0,0
"Vlsi Architectures","MEL G642",1,0,0
"Supply Chain Management","MF F319",1,0,0
"Supply Chain Modelling And Empirical Analysis","MF F422",1,0,0
"Principles Of Management","MGTS F211",1,1,0
"Chemical Engg Thermodynamics","PE ZC313",1,0,0
"Chemical Process Calculations","PE ZC321",1,0,0
"Process Control & Instrumentation","PE* ZC453",1,0,0
"Physics Laboratory","PHY F110",0,0,1
"Mechanics Oscillations &Waves","PHY F111",1,0,0
"Classical Mechanics","PHY F211",1,1,0
"Electromagnetic Theo I","PHY F212",1,2,0
"Optics","PHY F213",1,1,0
"Elec, Magnet & Optics Lab","PHY F214",0,0,1
"Introduction To Astronomy &Astrophysics","PHY F215",1,0,0
"Electromagnetic Theo II","PHY F241",1,1,0
"Quantum Mechanics I","PHY F242",1,1,0
"Mathe Methods Of Phy","PHY F243",1,1,0
"Modern Phy Lab","PHY F244",0,0,1
"Quantum Mechanics II","PHY F311",1,1,0
"Statistical Mechanics","PHY F312",1,1,0
"Computational Physics","PHY F313",1,1,0
"Theory Of Relativity","PHY F315",1,0,0
"Atoms And Photons","PHY F318",1,0,0
"Solid State Physics","PHY F341",1,1,0
"Atomic & Molecular Phy","PHY F342",1,1,0
"Nuclear & Particle Phy","PHY F343",1,1,0
"Advanced Physics Lab","PHY F344",0,0,1
"Quantum Mechanics For Engineers","PHY F345",1,0,0
"Laser Science And Technology","PHY F346",1,0,0
"Introduction To Quantum Field Theory","PHY F412",1,0,0
"Particle Physics","PHY F413",1,0,0
"General Theory Of Relativity AndCosmology","PHY F415",1,0,0
"Soft Condensed Matter Physics","PHY F416",1,0,0
"Advanced Solid State Physics","PHY F419",1,0,0
"Special Topics In Statistical Mechanics","PHY F423",1,0,0
"Physics Of Semiconductor Devices","PHY F426",1,0,0
"Quantum Information Theory","PHY F428",1,0,0
"Topics In Nonlinear Optics","PHY F433",1,0,0
"Classical Electrodynamic","PHY G513",1,1,0
"Quantum Theory And Applications","PHY G514",1,0,0
"Statistical Physics & Applications","PHY G516",1,0,0
"Business Communication","PS* ZC221",1,0,0
"Design Of Experiments","QM ZG536",1,0,0
"Artificial And Computational Intelligence","SE ZG557",1,0,0
"Applied Machine Learning","SE ZG568/SS ZG568",1,0,0
"Natural Language Processing","SS ZG599",1,0,0
"Sanitation Governance Behavioral Change And Advocacy","SSTM* ZG513",1,0,0
"Artificial And Computational Intelligence","SEZG557",1,0,0
"Applied Machine Learning","SEZ G568/SSZG568",1,0,0
"Data Ware Housing","SS G515",1,0,0
"Software Testing Methodologies","SS G552",1,0,0
"Software Engineering And Management","SSG 562",1,0,0
"Software Architechtures","SSG 653",1,0,0
"Advanced Statistical Techniques For Analytics","SSZ G536",1,0,0
"Natural Language Processing","SSZ G599",1,0,0
"Technical Report Writing","TA ZC312/PE ZC312",1,0,0
